Names,Meanings,Sentences,Collocations,Tags,Pronunciations,Level,Name
"allergy
allergic",,"I have an allergy to animal hair.
He suffers from a severe nut allergy.
Food allergies affect six to eight per cent of children.
I like cats but unfortunately I'm allergic to them.",,医療,,,allergy
you should do,〜するべきだ,,,意見,,,you should do
you need to do,そろそろ〜しないといけないよ,You need to find a job soon. そろそろ本当に仕事を探した方がいいよ,,意見,,,you need to do
why don't we do?,〜しない？,Why don’t we take a little break? ちょっと休憩しない？,,意見,,,why don't we do?
in my opinion,私の意見では,,,意見,,,in my opinion
in my case,私の場合,,,意見,,,in my case
I recommend (that) you do,〜するのを勧めます,,,意見,,,I recommend (that) you do
I mean,つまり、というのは、というか、というより,"I hate this job. I mean, it’s not for me. 仕事が嫌い。と言うのは、私この仕事に向いてないと思うの",,意見,,,I mean
how about doing?,〜するのはどう？,How about chilling at your place? あなたの家でのんびり過ごすのはどう？,,意見,,,how about doing?
tend to do,〜しがちである,Young people tend to complain of everything.,,程度,,,tend to do
a lot of A,多くの(quite a lot ofより多い),,,程度,,,a lot of A
right now,ちょうど今、今まさに、すぐに,,,時間,,,right now
just now,ちょうど今,,,時間,,,just now
would you do?,〜してくださいますか？,,,依頼,,,would you do?
why don't you do?,〜してくれない？,Why don’t you answer my e-mail? メールに返信してもらえない？,,依頼,,,why don't you do?
is it[would it be] possible (for you) to do?,〜することはできますか？、〜してもらうことはできますか？,"Would it be possible to sit by the window? 窓側の席に座れますか？
Would it be possible to see the manager? マネージャーに会うことはできますか？
Would it be possible for you to review these documents? この書類に目を通していただいてもよろしいですか？",,依頼,,,is it[would it be] possible (for you) to do?
could you do?,〜してもらえたりしませんか？,,,依頼,,,could you do?
can you do?,〜してもらえませんか？,,,依頼,,,can you do?
versatile,万能な、多才な、気まぐれな,All my dishes are versatile enough to be adjusted to individual preferences. 私の料理は全て、食べる人のいろいろな好みに合わせて調理法を変えることができます,,人,,,versatile
wise,経験がある、賢い,,,人,,,wise
smart,賢い,,,人,,,smart
shy,シャイな,,,人,,,shy
rude,失礼な,,,人,,,rude
quiet,静かな,,,人,,,quiet
polite,礼儀正しい,,,人,,,polite
lazy,ずぼらな,,,人,,,lazy
kind,親切な,,,人,,,kind
honest,正直な、誠実な,,,人,,,honest
funny,面白い,,,人,,,funny
cold,,,,人,,,cold
clever,(ずる)賢い、頭がキレる,,,人,,,clever
"brave
bravery","勇敢な
勇敢さ",,,人,,,brave
boring,つまらない,,,"人, 良さ",,,boring
really like A,Aが大好きである,,,好み,,,really like A
into A,Aにハマっている、依存している,,,好み,,,into A
interested in A,Aに興味がある,,,好み,,,interested in A
A-lover,〜のファンである、〜が大好きである,,,好み,,,A-lover
a (big) fan of A,〜の(大)ファンである、〜が大好きである,,,好み,,,a (big) fan of A
have a plan to do,〜をする予定である,,,未来,,,have a plan to do
going to do,〜するつもりである,,,未来,,,going to do
in front of,,,,位置,,,in front of
take advantage of A,利用する,,,ビジネス,,,take advantage of A
aware of,認識している、知っている,"I’m not aware of any issues with the system. システムに問題があるとは認識していません
I’m not aware of the details regarding that project. そのプロジェクトの詳細については知りません",,,,,aware of
